cluster	representative	sequence_count	minimum_length	median_length	maximum_length	representative_description
CMD_monomer_015	A0ABP8DVF7	10	90	110	119	tr|A0ABP8DVF7|A0ABP8DVF7_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Dactylosporangium darangshiense OX=579108 GN=GCM10022255_113790 PE=4 SV=1
CMD_monomer_016	A0ABW9E552	10	86	107.5	119	tr|A0ABW9E552|A0ABW9E552_9BURK Carboxymuconolactone decarboxylase family protein OS=Paraburkholderia metrosideri OX=580937 GN=PQQ63_38395 PE=4 SV=1
CMD_monomer_017	A0ABY7GUB4	9	81	84	90	tr|A0ABY7GUB4|A0ABY7GUB4_9BACT Carboxymuconolactone decarboxylase family protein OS=Nannocystis punicea OX=2995304 GN=O0S08_30535 PE=4 SV=1
CMD_monomer_018	A0A7Z0WEM5	8	89	104	118	tr|A0A7Z0WEM5|A0A7Z0WEM5_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Actinophytocola xinjiangensis OX=485602 GN=BLA60_37555 PE=4 SV=1
CMD_monomer_019	A0AA51YJS6	8	93	97	115	tr|A0AA51YJS6|A0AA51YJS6_9EURY Carboxymuconolactone decarboxylase family protein OS=Methanolobus mangrovi OX=3072977 GN=RE476_03535 PE=4 SV=1
CMD_monomer_020	A0ABW7YKT8	7	88	97	108	tr|A0ABW7YKT8|A0ABW7YKT8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Nonomuraea typhae OX=2603600 GN=ACIBG2_02750 PE=4 SV=1
CMD_monomer_021	A0A150KW97	6	90	113.5	119	tr|A0A150KW97|A0A150KW97_9BACI Carboxymuconolactone decarboxylase-like domain-containing protein OS=Heyndrickxia sporothermodurans OX=46224 GN=B4102_3342 PE=4 SV=1
CMD_monomer_022	A0A2A2H1Y6	6	106	115	119	tr|A0A2A2H1Y6|A0A2A2H1Y6_METBR Carboxymuconolactone decarboxylase-like domain-containing protein OS=Methanobacterium bryantii OX=2161 GN=ASJ80_00060 PE=4 SV=1
CMD_monomer_023	A0ABS1Y5H5	6	84	90	96	tr|A0ABS1Y5H5|A0ABS1Y5H5_9CORY Carboxymuconolactone decarboxylase family protein OS=Corynebacterium macginleyi OX=38290 GN=GWO63_004405 PE=4 SV=1
CMD_monomer_024	A0ABS8WAL3	6	88	94	98	tr|A0ABS8WAL3|A0ABS8WAL3_9GAMM Carboxymuconolactone decarboxylase family protein OS=Motilimonas cestriensis OX=2742685 GN=K6Y31_07340 PE=4 SV=1
CMD_monomer_025	A0A137ZJI2	5	84	105	111	tr|A0A137ZJI2|A0A137ZJI2_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Tsukamurella pseudospumae OX=239498 GN=AXK61_20240 PE=4 SV=1
CMD_monomer_026	A0A6I6JSP6	5	112	116	117	tr|A0A6I6JSP6|A0A6I6JSP6_9BACT Carboxymuconolactone decarboxylase family protein OS=Pseudodesulfovibrio cashew OX=2678688 GN=GM415_10875 PE=4 SV=1
CMD_monomer_027	A0ABS0RVP0	5	82	100	114	tr|A0ABS0RVP0|A0ABS0RVP0_9ACTN Carboxymuconolactone decarboxylase family protein OS=Streptomyces javensis OX=114698 GN=JBF12_48710 PE=4 SV=1
