dehi_half	cluster	representative	sequence_count	minimum_length	median_length	maximum_length	template_neff	probability	p_value	bonferroni_p	score	aligned_columns	identity_percent	query_model_length	template_model_length	query_coverage_percent	template_coverage_percent	representative_description	hhr
C	CMD_monomer_011	A0ABN3FHE9	21	87	110	119	3.6	3.92	0.011	0.594	18.08	61	18	113	109	53.982300884955755	55.96330275229358	tr|A0ABN3FHE9|A0ABN3FHE9_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Saccharopolyspora halophila OX=405551 GN=GCM10009854_01080 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_011.hhr
C	CMD_monomer_019	A0AA51YJS6	8	93	97	115	3.2	2.4	0.019	1.0	16.4	20	20	113	95	17.699115044247787	21.05263157894737	tr|A0AA51YJS6|A0AA51YJS6_9EURY Carboxymuconolactone decarboxylase family protein OS=Methanolobus mangrovi OX=3072977 GN=RE476_03535 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_019.hhr
C	CMD_monomer_024	A0ABS8WAL3	6	88	94	98	2.5	1.97	0.025	1.0	15.71	18	11	113	89	15.929203539823009	20.224719101123597	tr|A0ABS8WAL3|A0ABS8WAL3_9GAMM Carboxymuconolactone decarboxylase family protein OS=Motilimonas cestriensis OX=2742685 GN=K6Y31_07340 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_024.hhr
C	CMD_monomer_018	A0A7Z0WEM5	8	89	104	118	2.6	1.74	0.029	1.0	15.84	46	17	113	104	40.70796460176991	44.23076923076923	tr|A0A7Z0WEM5|A0A7Z0WEM5_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Actinophytocola xinjiangensis OX=485602 GN=BLA60_37555 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_018.hhr
N	CMD_monomer_018	A0A7Z0WEM5	8	89	104	118	2.6	1.26	0.041	1.0	15.54	16	13	123	104	13.008130081300813	15.384615384615385	tr|A0A7Z0WEM5|A0A7Z0WEM5_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Actinophytocola xinjiangensis OX=485602 GN=BLA60_37555 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_018.hhr
N	CMD_monomer_025	A0A137ZJI2	5	84	105	111	2.3	1.04	0.052	1.0	14.8	27	33	123	96	21.951219512195124	28.125	tr|A0A137ZJI2|A0A137ZJI2_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Tsukamurella pseudospumae OX=239498 GN=AXK61_20240 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_025.hhr
N	CMD_monomer_001	A0A8J3Y8J0	322	81	109	119	5.0	0.85	0.065	1.0	14.18	27	33	123	106	21.951219512195124	25.471698113207548	tr|A0A8J3Y8J0|A0A8J3Y8J0_9ACTN 4-carboxymuconolactone decarboxylase OS=Spirilliplanes yamanashiensis OX=42233 GN=pcaC PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_001.hhr
N	CMD_monomer_005	K4LXF0	45	82	102	116	4.6	0.78	0.071	1.0	14.01	12	33	123	103	9.75609756097561	11.650485436893204	tr|K4LXF0|K4LXF0_THEPS Carboxymuconolactone decarboxylase-like domain-containing protein OS=Thermacetogenium phaeum (strain ATCC BAA-254 / DSM 26808 / PB) OX=1089553 GN=Tph_c24850 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_005.hhr
C	CMD_monomer_021	A0A150KW97	6	90	113.5	119	2.0	0.74	0.076	1.0	13.76	16	25	113	109	14.15929203539823	14.678899082568808	tr|A0A150KW97|A0A150KW97_9BACI Carboxymuconolactone decarboxylase-like domain-containing protein OS=Heyndrickxia sporothermodurans OX=46224 GN=B4102_3342 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_021.hhr
C	CMD_monomer_022	A0A2A2H1Y6	6	106	115	119	2.2	0.71	0.08	1.0	13.68	23	17	113	109	20.353982300884955	21.10091743119266	tr|A0A2A2H1Y6|A0A2A2H1Y6_METBR Carboxymuconolactone decarboxylase-like domain-containing protein OS=Methanobacterium bryantii OX=2161 GN=ASJ80_00060 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_022.hhr
N	CMD_monomer_011	A0ABN3FHE9	21	87	110	119	3.6	0.65	0.087	1.0	13.9	14	14	123	109	11.382113821138212	12.844036697247706	tr|A0ABN3FHE9|A0ABN3FHE9_9PSEU Carboxymuconolactone decarboxylase-like domain-containing protein OS=Saccharopolyspora halophila OX=405551 GN=GCM10009854_01080 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_011.hhr
C	CMD_monomer_023	A0ABS1Y5H5	6	84	90	96	2.6	0.5	0.12	1.0	12.38	13	8	113	88	11.504424778761061	14.772727272727273	tr|A0ABS1Y5H5|A0ABS1Y5H5_9CORY Carboxymuconolactone decarboxylase family protein OS=Corynebacterium macginleyi OX=38290 GN=GWO63_004405 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_023.hhr
N	CMD_monomer_026	A0A6I6JSP6	5	112	116	117	2.2	0.5	0.12	1.0	13.38	1	0	123	116	0.8130081300813008	0.8620689655172413	tr|A0A6I6JSP6|A0A6I6JSP6_9BACT Carboxymuconolactone decarboxylase family protein OS=Pseudodesulfovibrio cashew OX=2678688 GN=GM415_10875 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_026.hhr
N	CMD_monomer_020	A0ABW7YKT8	7	88	97	108	1.7	0.48	0.12	1.0	12.76	20	20	123	97	16.260162601626018	20.61855670103093	tr|A0ABW7YKT8|A0ABW7YKT8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Nonomuraea typhae OX=2603600 GN=ACIBG2_02750 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_020.hhr
N	CMD_monomer_023	A0ABS1Y5H5	6	84	90	96	2.6	0.47	0.13	1.0	12.6	21	14	123	88	17.073170731707318	23.863636363636363	tr|A0ABS1Y5H5|A0ABS1Y5H5_9CORY Carboxymuconolactone decarboxylase family protein OS=Corynebacterium macginleyi OX=38290 GN=GWO63_004405 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_023.hhr
C	CMD_monomer_016	A0ABW9E552	10	86	107.5	119	2.2	0.46	0.13	1.0	12.55	12	25	113	107	10.619469026548673	11.214953271028037	tr|A0ABW9E552|A0ABW9E552_9BURK Carboxymuconolactone decarboxylase family protein OS=Paraburkholderia metrosideri OX=580937 GN=PQQ63_38395 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_016.hhr
C	CMD_monomer_012	A0A7J5UL67	20	99	111.5	118	2.7	0.44	0.14	1.0	12.47	9	33	113	107	7.964601769911504	8.411214953271028	tr|A0A7J5UL67|A0A7J5UL67_9ACTN Carboxymuconolactone decarboxylase family protein OS=Georgenia thermotolerans OX=527326 GN=GB883_15960 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_012.hhr
C	CMD_monomer_013	A0ABV9TW09	17	91	102	114	3.7	0.42	0.14	1.0	12.15	4	50	113	100	3.5398230088495577	4.0	tr|A0ABV9TW09|A0ABV9TW09_9ACTN Carboxymuconolactone decarboxylase family protein OS=Actinomadura gamaensis OX=1763541 GN=ACFPCY_13325 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_013.hhr
C	CMD_monomer_020	A0ABW7YKT8	7	88	97	108	1.7	0.42	0.14	1.0	12.02	11	9	113	97	9.734513274336283	11.34020618556701	tr|A0ABW7YKT8|A0ABW7YKT8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Nonomuraea typhae OX=2603600 GN=ACIBG2_02750 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_020.hhr
C	CMD_monomer_027	A0ABS0RVP0	5	82	100	114	2.2	0.42	0.14	1.0	12.38	17	6	113	109	15.044247787610619	15.596330275229358	tr|A0ABS0RVP0|A0ABS0RVP0_9ACTN Carboxymuconolactone decarboxylase family protein OS=Streptomyces javensis OX=114698 GN=JBF12_48710 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_027.hhr
N	CMD_monomer_012	A0A7J5UL67	20	99	111.5	118	2.7	0.33	0.18	1.0	12.18	7	29	123	107	5.691056910569106	6.542056074766355	tr|A0A7J5UL67|A0A7J5UL67_9ACTN Carboxymuconolactone decarboxylase family protein OS=Georgenia thermotolerans OX=527326 GN=GB883_15960 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_012.hhr
C	CMD_monomer_001	A0A8J3Y8J0	322	81	109	119	5.0	0.31	0.19	1.0	11.24	7	0	113	106	6.1946902654867255	6.60377358490566	tr|A0A8J3Y8J0|A0A8J3Y8J0_9ACTN 4-carboxymuconolactone decarboxylase OS=Spirilliplanes yamanashiensis OX=42233 GN=pcaC PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_001.hhr
N	CMD_monomer_019	A0AA51YJS6	8	93	97	115	3.2	0.3	0.2	1.0	11.61	12	25	123	95	9.75609756097561	12.631578947368421	tr|A0AA51YJS6|A0AA51YJS6_9EURY Carboxymuconolactone decarboxylase family protein OS=Methanolobus mangrovi OX=3072977 GN=RE476_03535 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_019.hhr
N	CMD_monomer_013	A0ABV9TW09	17	91	102	114	3.7	0.29	0.21	1.0	11.63	12	42	123	100	9.75609756097561	12.0	tr|A0ABV9TW09|A0ABV9TW09_9ACTN Carboxymuconolactone decarboxylase family protein OS=Actinomadura gamaensis OX=1763541 GN=ACFPCY_13325 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_013.hhr
N	CMD_monomer_007	A0ABP3VWY4	35	82	106	119	3.6	0.27	0.23	1.0	11.43	18	11	123	102	14.634146341463415	17.647058823529413	tr|A0ABP3VWY4|A0ABP3VWY4_9BURK Carboxymuconolactone decarboxylase family protein OS=Ideonella azotifigens OX=513160 GN=GCM10009107_57440 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_007.hhr
C	CMD_monomer_014	F6B2P4	12	83	87	107	3.3	0.27	0.23	1.0	10.76	6	50	113	86	5.3097345132743365	6.976744186046512	tr|F6B2P4|F6B2P4_DESCC Carboxymuconolactone decarboxylase OS=Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) OX=868595 GN=Desca_1000 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_014.hhr
N	CMD_monomer_004	A0ABS5U4B5	68	83	106.5	119	4.0	0.26	0.23	1.0	11.41	13	23	123	106	10.56910569105691	12.264150943396226	tr|A0ABS5U4B5|A0ABS5U4B5_9BACT Carboxymuconolactone decarboxylase family protein OS=Pelotalea chapellei OX=44671 GN=KJB30_01865 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_004.hhr
N	CMD_monomer_016	A0ABW9E552	10	86	107.5	119	2.2	0.23	0.26	1.0	11.27	17	24	123	107	13.821138211382113	15.88785046728972	tr|A0ABW9E552|A0ABW9E552_9BURK Carboxymuconolactone decarboxylase family protein OS=Paraburkholderia metrosideri OX=580937 GN=PQQ63_38395 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_016.hhr
C	CMD_monomer_010	A0A4Q2JJ73	22	101	109	119	2.9	0.21	0.29	1.0	10.66	19	16	113	107	16.8141592920354	17.757009345794394	tr|A0A4Q2JJ73|A0A4Q2JJ73_9MICO Carboxymuconolactone decarboxylase-like domain-containing protein OS=Agromyces fucosus OX=41985 GN=ESP57_17095 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_010.hhr
C	CMD_monomer_007	A0ABP3VWY4	35	82	106	119	3.6	0.2	0.3	1.0	10.42	11	36	113	102	9.734513274336283	10.784313725490197	tr|A0ABP3VWY4|A0ABP3VWY4_9BURK Carboxymuconolactone decarboxylase family protein OS=Ideonella azotifigens OX=513160 GN=GCM10009107_57440 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_007.hhr
C	CMD_monomer_026	A0A6I6JSP6	5	112	116	117	2.2	0.2	0.3	1.0	10.73	8	13	113	116	7.079646017699115	6.896551724137931	tr|A0A6I6JSP6|A0A6I6JSP6_9BACT Carboxymuconolactone decarboxylase family protein OS=Pseudodesulfovibrio cashew OX=2678688 GN=GM415_10875 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_026.hhr
N	CMD_monomer_009	A0A266Q8Y4	27	91	103	119	2.8	0.19	0.32	1.0	10.7	3	67	123	103	2.4390243902439024	2.912621359223301	tr|A0A266Q8Y4|A0A266Q8Y4_9GAMM Carboxymuconolactone decarboxylase OS=Cellvibrio mixtus OX=39650 GN=CBP51_01950 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_009.hhr
C	CMD_monomer_009	A0A266Q8Y4	27	91	103	119	2.8	0.18	0.33	1.0	10.24	17	18	113	103	15.044247787610619	16.50485436893204	tr|A0A266Q8Y4|A0A266Q8Y4_9GAMM Carboxymuconolactone decarboxylase OS=Cellvibrio mixtus OX=39650 GN=CBP51_01950 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_009.hhr
C	CMD_monomer_025	A0A137ZJI2	5	84	105	111	2.3	0.18	0.33	1.0	10.14	1	0	113	96	0.8849557522123894	1.0416666666666667	tr|A0A137ZJI2|A0A137ZJI2_9ACTN Carboxymuconolactone decarboxylase-like domain-containing protein OS=Tsukamurella pseudospumae OX=239498 GN=AXK61_20240 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_025.hhr
N	CMD_monomer_014	F6B2P4	12	83	87	107	3.3	0.17	0.36	1.0	9.96	9	44	123	86	7.317073170731708	10.465116279069768	tr|F6B2P4|F6B2P4_DESCC Carboxymuconolactone decarboxylase OS=Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) OX=868595 GN=Desca_1000 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_014.hhr
N	CMD_monomer_022	A0A2A2H1Y6	6	106	115	119	2.2	0.17	0.36	1.0	10.48	6	50	123	109	4.878048780487805	5.504587155963303	tr|A0A2A2H1Y6|A0A2A2H1Y6_METBR Carboxymuconolactone decarboxylase-like domain-containing protein OS=Methanobacterium bryantii OX=2161 GN=ASJ80_00060 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_022.hhr
C	CMD_monomer_008	A0A2S0HXW8	30	94	115	119	2.7	0.14	0.42	1.0	9.79	11	18	113	116	9.734513274336283	9.482758620689655	tr|A0A2S0HXW8|A0A2S0HXW8_9FLAO Carboxymuconolactone decarboxylase family protein OS=Pukyongia salina OX=2094025 GN=C5O00_09830 PE=4 SV=1	results/cmd_monomer_clusters/dehi_C_vs_CMD_monomer_008.hhr
N	CMD_monomer_027	A0ABS0RVP0	5	82	100	114	2.2	0.13	0.43	1.0	9.93	1	0	123	109	0.8130081300813008	0.9174311926605505	tr|A0ABS0RVP0|A0ABS0RVP0_9ACTN Carboxymuconolactone decarboxylase family protein OS=Streptomyces javensis OX=114698 GN=JBF12_48710 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_027.hhr
N	CMD_monomer_006	A0A1U9NPJ5	39	94	111	115	2.8	0.12	0.47	1.0	9.72	27	15	123	111	21.951219512195124	24.324324324324323	tr|A0A1U9NPJ5|A0A1U9NPJ5_9BACT Alkylhydroperoxidase/carboxymuconolactone decarboxylase family protein OS=Anaerohalosphaera lusitana OX=1936003 GN=STSP2_02721 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_006.hhr
N	CMD_monomer_003	A0A8A7KB27	117	87	113	119	5.3	0.1	0.53	1.0	8.82	1	0	123	112	0.8130081300813008	0.8928571428571429	tr|A0A8A7KB27|A0A8A7KB27_9FIRM Carboxymuconolactone decarboxylase family protein OS=Iocasia frigidifontis OX=2682810 GN=GM661_12100 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_003.hhr
N	CMD_monomer_002	A0A846X9N8	246	80	113	119	5.1	0.1	0.54	1.0	8.88	1	0	123	114	0.8130081300813008	0.8771929824561403	tr|A0A846X9N8|A0A846X9N8_9ACTN Carboxymuconolactone decarboxylase family protein OS=Tsukamurella spumae OX=44753 GN=HF999_21750 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_002.hhr
N	CMD_monomer_008	A0A2S0HXW8	30	94	115	119	2.7	0.08	0.61	1.0	8.91	1	0	123	116	0.8130081300813008	0.8620689655172413	tr|A0A2S0HXW8|A0A2S0HXW8_9FLAO Carboxymuconolactone decarboxylase family protein OS=Pukyongia salina OX=2094025 GN=C5O00_09830 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_008.hhr
N	CMD_monomer_021	A0A150KW97	6	90	113.5	119	2.0	0.08	0.65	1.0	8.53	8	13	123	109	6.504065040650406	7.339449541284404	tr|A0A150KW97|A0A150KW97_9BACI Carboxymuconolactone decarboxylase-like domain-containing protein OS=Heyndrickxia sporothermodurans OX=46224 GN=B4102_3342 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_021.hhr
N	CMD_monomer_010	A0A4Q2JJ73	22	101	109	119	2.9	0.07	0.67	1.0	8.39	1	0	123	107	0.8130081300813008	0.9345794392523364	tr|A0A4Q2JJ73|A0A4Q2JJ73_9MICO Carboxymuconolactone decarboxylase-like domain-containing protein OS=Agromyces fucosus OX=41985 GN=ESP57_17095 PE=4 SV=1	results/cmd_monomer_clusters/dehi_N_vs_CMD_monomer_010.hhr
