group	accession	protein_length	double_core	repeat1	repeat1_i_evalue	repeat2	repeat2_i_evalue
CMD-like	tr|A0A098YC93|A0A098YC93_9ACTN	136	0				
CMD-like	tr|A0A0A0EBU2|A0A0A0EBU2_9RHOB	187	0				
CMD-like	tr|A0A0A0ELC3|A0A0A0ELC3_9GAMM	149	0				
CMD-like	tr|A0A0A0JMX6|A0A0A0JMX6_9MICO	170	0				
CMD-like	tr|A0A0A0JVK1|A0A0A0JVK1_9MICO	192	0				
CMD-like	tr|A0A0A1DL70|A0A0A1DL70_NOCSI	149	0				
CMD-like	tr|A0A0A1MBI4|A0A0A1MBI4_9BACI	150	0				
CMD-like	tr|A0A0A1YQV4|A0A0A1YQV4_9PSED	130	0				
CMD-like	tr|A0A0A2LI06|A0A0A2LI06_9FLAO	144	0				
CMD-like	tr|A0A0A2LN51|A0A0A2LN51_9FLAO	159	0				
CMD-like	tr|A0A0A2M3X0|A0A0A2M3X0_9FLAO	144	0				
CMD-like	tr|A0A0A2WRF9|A0A0A2WRF9_THEFI	128	0				
CMD-like	tr|A0A0A6NYC7|A0A0A6NYC7_9GAMM	141	0				
CMD-like	tr|A0A0A6UID6|A0A0A6UID6_ACTUT	146	0				
CMD-like	tr|A0A0A6YBU5|A0A0A6YBU5_KOCRO	186	0				
CMD-like	tr|A0A0A7PDX2|A0A0A7PDX2_9SPHN	152	0				
CMD-like	tr|A0A0B1ZMW1|A0A0B1ZMW1_9SPHN	138	0				
CMD-like	tr|A0A0B1ZR43|A0A0B1ZR43_9SPHN	206	0				
CMD-like	tr|A0A0B1ZR52|A0A0B1ZR52_9SPHN	121	0				
CMD-like	tr|A0A0B2AE41|A0A0B2AE41_9MICC	155	0				
CMD-like	tr|A0A0B3S3U7|A0A0B3S3U7_9RHOB	134	0				
CMD-like	tr|A0A0B4GVL1|A0A0B4GVL1_METGA	174	0				
CMD-like	tr|A0A0B4X086|A0A0B4X086_9HYPH	153	0				
CMD-like	tr|A0A0B5CRH1|A0A0B5CRH1_NEIEG	210	0				
CMD-like	tr|A0A0B5D8G2|A0A0B5D8G2_9ACTN	154	0				
CMD-like	tr|A0A0B5E6V4|A0A0B5E6V4_9RHOB	184	0				
CMD-like	tr|A0A0B6AGT0|A0A0B6AGT0_PRIM2	138	0				
CMD-like	tr|A0A0B6ALD1|A0A0B6ALD1_PRIM2	143	0				
CMD-like	tr|A0A0B6S1C4|A0A0B6S1C4_BURPL	137	0				
CMD-like	tr|A0A0B6S8E0|A0A0B6S8E0_BURPL	185	0				
CMD-like	tr|A0A0B6SBB6|A0A0B6SBB6_BURPL	188	0				
CMD-like	tr|A0A0B6SC99|A0A0B6SC99_BURPL	184	0				
CMD-like	tr|A0A0B6TTD9|A0A0B6TTD9_9CORY	140	0				
CMD-like	tr|A0A0B7MGP6|A0A0B7MGP6_9FIRM	126	0				
CMD-like	tr|A0A0B8N161|A0A0B8N161_9NOCA	131	0				
CMD-like	tr|A0A0B8NN78|A0A0B8NN78_9NOCA	160	0				
CMD-like	tr|A0A0B8NNC3|A0A0B8NNC3_9NOCA	199	0				
CMD-like	tr|A0A0B8ZSG0|A0A0B8ZSG0_9SPHN	189	0				
CMD-like	tr|A0A0C1DKS5|A0A0C1DKS5_9SPHI	144	0				
CMD-like	tr|A0A0C1FF27|A0A0C1FF27_9FLAO	145	0				
CMD-like	tr|A0A0C1FHD9|A0A0C1FHD9_9SPHI	150	0				
CMD-like	tr|A0A0C1IIP4|A0A0C1IIP4_9BACT	155	0				
CMD-like	tr|A0A0C1L782|A0A0C1L782_9BACT	184	0				
CMD-like	tr|A0A0C1QLP5|A0A0C1QLP5_9RICK	121	0				
CMD-like	tr|A0A0C1YQ76|A0A0C1YQ76_9BURK	139	0				
CMD-like	tr|A0A0C2Y6I2|A0A0C2Y6I2_HEBCY	134	0				
CMD-like	tr|A0A0C3CY75|A0A0C3CY75_OIDMZ	137	0				
CMD-like	tr|A0A0C3F1X9|A0A0C3F1X9_PILCF	132	0				
CMD-like	tr|A0A0C3HR46|A0A0C3HR46_OIDMZ	189	0				
CMD-like	tr|A0A0C5VDM5|A0A0C5VDM5_9GAMM	147	0				
CMD-like	tr|A0A0C9U1L6|A0A0C9U1L6_SPHS4	151	0				
CMD-like	tr|A0A0C9UP56|A0A0C9UP56_SPHS4	180	0				
CMD-like	tr|A0A0C9VCP5|A0A0C9VCP5_SPHS4	196	0				
CMD-like	tr|A0A0D0GJE4|A0A0D0GJE4_9SPHI	141	0				
CMD-like	tr|A0A0D0QDH8|A0A0D0QDH8_9RHOB	126	0				
CMD-like	tr|A0A0D0QDY6|A0A0D0QDY6_9RHOB	177	0				
CMD-like	tr|A0A0D1JTW5|A0A0D1JTW5_9MYCO	190	0				
CMD-like	tr|A0A0D1L776|A0A0D1L776_9MYCO	160	0				
CMD-like	tr|A0A0D1WGU7|A0A0D1WGU7_ANEMI	148	0				
CMD-like	tr|A0A0D1ZNA5|A0A0D1ZNA5_9EURO	130	0				
CMD-like	tr|A0A0D2A0M9|A0A0D2A0M9_9PEZI	165	0				
CMD-like	tr|A0A0D2BM31|A0A0D2BM31_9EURO	190	0				
CMD-like	tr|A0A0D2CJ91|A0A0D2CJ91_9EURO	139	0				
CMD-like	tr|A0A0D2CTW4|A0A0D2CTW4_9EURO	203	0				
CMD-like	tr|A0A0D2D8B1|A0A0D2D8B1_9EURO	191	0				
CMD-like	tr|A0A0D2GYJ1|A0A0D2GYJ1_9EURO	208	0				
CMD-like	tr|A0A0D2HK43|A0A0D2HK43_9EURO	141	0				
CMD-like	tr|A0A0D2IVB4|A0A0D2IVB4_9EURO	199	0				
CMD-like	tr|A0A0D5YE62|A0A0D5YE62_ACIBA	138	0				
CMD-like	tr|A0A0D6ML74|A0A0D6ML74_9PROT	197	0				
CMD-like	tr|A0A0D6PED6|A0A0D6PED6_9PROT	135	0				
CMD-like	tr|A0A0D8FRD0|A0A0D8FRD0_9ACTN	195	0				
CMD-like	tr|A0A0D8FUU2|A0A0D8FUU2_9ACTN	130	0				
CMD-like	tr|A0A0D8HFK4|A0A0D8HFK4_9ACTN	126	0				
CMD-like	tr|A0A0D8HGG7|A0A0D8HGG7_9ACTN	189	0				
CMD-like	tr|A0A0D8HII7|A0A0D8HII7_9ACTN	196	0				
CMD-like	tr|A0A0D8HIP5|A0A0D8HIP5_9ACTN	120	0				
CMD-like	tr|A0A0E3Q558|A0A0E3Q558_9EURY	122	0				
CMD-like	tr|A0A0E3SAF2|A0A0E3SAF2_9EURY	135	0				
CMD-like	tr|A0A0E3ZL20|A0A0E3ZL20_9BURK	183	0				
CMD-like	tr|A0A0E9MXW3|A0A0E9MXW3_9BACT	181	0				
CMD-like	tr|A0A0E9MYT1|A0A0E9MYT1_9BACT	183	0				
CMD-like	tr|A0A0E9N6G1|A0A0E9N6G1_9BACT	146	0				
CMD-like	tr|A0A0F0HDI9|A0A0F0HDI9_LENAE	148	0				
CMD-like	tr|A0A0F0KVR5|A0A0F0KVR5_9MICO	204	0				
CMD-like	tr|A0A0F0LM35|A0A0F0LM35_9MICO	198	0				
CMD-like	tr|A0A0F3IHR0|A0A0F3IHR0_9GAMM	189	0				
CMD-like	tr|A0A0F4GI87|A0A0F4GI87_9PEZI	186	0				
CMD-like	tr|A0A0F4LA32|A0A0F4LA32_9LACO	135	0				
CMD-like	tr|A0A0F4PPC6|A0A0F4PPC6_9GAMM	141	0				
CMD-like	tr|A0A0F5FQC7|A0A0F5FQC7_9HYPH	151	0				
CMD-like	tr|A0A0F5HR88|A0A0F5HR88_BACTR	129	0				
CMD-like	tr|A0A0F5LQ16|A0A0F5LQ16_9HYPH	196	0				
CMD-like	tr|A0A0F5MZ28|A0A0F5MZ28_9MYCO	192	0				
CMD-like	tr|A0A0F6R129|A0A0F6R129_9CORY	133	0				
CMD-like	tr|A0A0F6SGT7|A0A0F6SGT7_9BACT	184	0				
CMD-like	tr|A0A0F6W1B4|A0A0F6W1B4_9BACT	148	0				
CMD-like	tr|A0A0F7JP83|A0A0F7JP83_9DEIO	124	0				
CMD-like	tr|A0A0F7KGL6|A0A0F7KGL6_9PROT	130	0				
CMD-like	tr|A0A0F8AVK0|A0A0F8AVK0_9EURY	180	0				
CMD-like	tr|A0A0F8VSQ2|A0A0F8VSQ2_9EURO	194	0				
CMD-like	tr|A0A0G2FJP6|A0A0G2FJP6_9PEZI	193	0				
CMD-like	tr|A0A0G2FY14|A0A0G2FY14_9PEZI	159	0				
CMD-like	tr|A0A0G3BFW0|A0A0G3BFW0_9BURK	158	0				
CMD-like	tr|A0A0G3BIU9|A0A0G3BIU9_9BURK	186	0				
CMD-like	tr|A0A0G3BSG7|A0A0G3BSG7_9BURK	135	0				
CMD-like	tr|A0A0G3EM14|A0A0G3EM14_9BURK	145	0				
CMD-like	tr|A0A0G3GMI2|A0A0G3GMI2_9PSED	134	0				
CMD-like	tr|A0A0G3H2Y6|A0A0G3H2Y6_9CORY	140	0				
CMD-like	tr|A0A0G3LYH0|A0A0G3LYH0_CHRGL	154	0				
CMD-like	tr|A0A0G4JAS9|A0A0G4JAS9_9BURK	151	0				
CMD-like	tr|A0A0H2KS92|A0A0H2KS92_9MICO	175	0				
CMD-like	tr|A0A0H2LWT2|A0A0H2LWT2_VARPD	154	0				
CMD-like	tr|A0A0H2M224|A0A0H2M224_VARPD	177	0				
CMD-like	tr|A0A0H2ME08|A0A0H2ME08_9PROT	190	0				
CMD-like	tr|A0A0H2MHN3|A0A0H2MHN3_9PROT	142	0				
CMD-like	tr|A0A0H2MUG5|A0A0H2MUG5_9PROT	126	0				
CMD-like	tr|A0A0H2S147|A0A0H2S147_9AGAM	192	0				
CMD-like	tr|A0A0H2VA19|A0A0H2VA19_ECOL6	161	0				
CMD-like	tr|A0A0H2WIY5|A0A0H2WIY5_BURMA	150	0				
CMD-like	tr|A0A0H2XGT6|A0A0H2XGT6_STAA3	140	0				
CMD-like	tr|A0A0H3F6C0|A0A0H3F6C0_RAHSY	143	0				
CMD-like	tr|A0A0H3H0E0|A0A0H3H0E0_KLEM8	143	0				
CMD-like	tr|A0A0H3H1T7|A0A0H3H1T7_KLEPH	143	0				
CMD-like	tr|A0A0H3KF57|A0A0H3KF57_BURM1	145	0				
CMD-like	tr|A0A0H3LIJ0|A0A0H3LIJ0_BORBR	127	0				
CMD-like	tr|A0A0J1BHG4|A0A0J1BHG4_RHOIS	170	0				
CMD-like	tr|A0A0J6HHA1|A0A0J6HHA1_9BACI	130	0				
CMD-like	tr|A0A0J6SPS4|A0A0J6SPS4_9HYPH	206	0				
CMD-like	tr|A0A0J6WK03|A0A0J6WK03_9MYCO	194	0				
CMD-like	tr|A0A0J6WPL5|A0A0J6WPL5_9MYCO	194	0				
CMD-like	tr|A0A0J6Y146|A0A0J6Y146_9MYCO	195	0				
CMD-like	tr|A0A0J8VBV1|A0A0J8VBV1_9GAMM	208	0				
CMD-like	tr|A0A0K0Y334|A0A0K0Y334_9RHOB	197	0				
CMD-like	tr|A0A0K1EH59|A0A0K1EH59_CHOCO	155	0				
CMD-like	tr|A0A0K1PGL8|A0A0K1PGL8_9BACT	193	0				
CMD-like	tr|A0A0K1PKF6|A0A0K1PKF6_9BACT	154	0				
CMD-like	tr|A0A0K1RA57|A0A0K1RA57_9CORY	159	0				
CMD-like	tr|A0A0K2GAX9|A0A0K2GAX9_NITMO	194	0				
CMD-like	tr|A0A0K6G8Q1|A0A0K6G8Q1_9AGAM	156	0				
CMD-like	tr|A0A0K8QKW2|A0A0K8QKW2_9GAMM	182	0				
CMD-like	tr|A0A0K9GSW2|A0A0K9GSW2_9BACI	206	0				
CMD-like	tr|A0A0L0G149|A0A0L0G149_9EUKA	174	0				
CMD-like	tr|A0A0L0HDL3|A0A0L0HDL3_SPIPD	183	0				
CMD-like	tr|A0A0L1JL42|A0A0L1JL42_9RHOB	129	0				
CMD-like	tr|A0A0L1JL84|A0A0L1JL84_9RHOB	130	0				
CMD-like	tr|A0A0L6CND5|A0A0L6CND5_9MICO	159	0				
CMD-like	tr|A0A0L8AP01|A0A0L8AP01_9BACT	151	0				
CMD-like	tr|A0A0M0F9Y4|A0A0M0F9Y4_CELCE	124	0				
CMD-like	tr|A0A0M2GHZ3|A0A0M2GHZ3_9ACTN	150	0				
CMD-like	tr|A0A0M2HS30|A0A0M2HS30_9MICO	184	0				
CMD-like	tr|A0A0M2V419|A0A0M2V419_9GAMM	131	0				
CMD-like	tr|A0A0M3AP09|A0A0M3AP09_9SPHN	143	0				
CMD-like	tr|A0A0M4M166|A0A0M4M166_9GAMM	128	0				
CMD-like	tr|A0A0M5ILX1|A0A0M5ILX1_9CORY	150	0				
CMD-like	tr|A0A0M7B7A5|A0A0M7B7A5_9RHOB	131	0				
CMD-like	tr|A0A0M8P0J5|A0A0M8P0J5_9EURO	168	0				
CMD-like	tr|A0A0M9VVV7|A0A0M9VVV7_ESCWE	149	0				
CMD-like	tr|A0A0N0MB42|A0A0N0MB42_9HYPH	132	0				
CMD-like	tr|A0A0N0XSR4|A0A0N0XSR4_9ACTN	148	0				
CMD-like	tr|A0A0N7LAV8|A0A0N7LAV8_9BASI	163	0				
CMD-like	tr|A0A0N9HZB0|A0A0N9HZB0_9PSEU	153	0				
CMD-like	tr|A0A0N9I2J3|A0A0N9I2J3_9PSEU	184	0				
CMD-like	tr|A0A0N9MSD3|A0A0N9MSD3_9ACTN	126	0				
CMD-like	tr|A0A0N9NCX9|A0A0N9NCX9_9ACTN	154	0				
CMD-like	tr|A0A0P1F7I1|A0A0P1F7I1_9RHOB	143	0				
CMD-like	tr|A0A0P1GPI4|A0A0P1GPI4_9RHOB	183	0				
CMD-like	tr|A0A0P1IXG2|A0A0P1IXG2_9RHOB	182	0				
CMD-like	tr|A0A0P1J5B1|A0A0P1J5B1_9RHOB	135	0				
CMD-like	tr|A0A0P1MR08|A0A0P1MR08_9BACT	194	0				
CMD-like	tr|A0A0P4R029|A0A0P4R029_9ACTN	166	0				
CMD-like	tr|A0A0P6XBF9|A0A0P6XBF9_9CHLR	162	0				
CMD-like	tr|A0A0P7Z3Y0|A0A0P7Z3Y0_9RHOB	184	0				
CMD-like	tr|A0A0P9CAL1|A0A0P9CAL1_9BACL	137	0				
CMD-like	tr|A0A0P9EY41|A0A0P9EY41_9BACL	152	0				
CMD-like	tr|A0A0P9FGA8|A0A0P9FGA8_9CHLR	181	0				
CMD-like	tr|A0A0Q3TK30|A0A0Q3TK30_9BACI	148	0				
CMD-like	tr|A0A0R0CR36|A0A0R0CR36_9GAMM	193	0				
CMD-like	tr|A0A2T0Q7N0|A0A2T0Q7N0_9ACTN	144	0				
CMD-like	tr|A0A2T0QUU6|A0A2T0QUU6_9ACTN	154	0				
CMD-like	tr|A0A2T0SV48|A0A2T0SV48_9PSEU	122	0				
CMD-like	tr|A0A2T0W459|A0A2T0W459_9RHOB	147	0				
CMD-like	tr|A0A2T0WKP2|A0A2T0WKP2_9RHOB	178	0				
CMD-like	tr|A0A2T0X6Q9|A0A2T0X6Q9_9RHOB	122	0				
CMD-like	tr|A0A2T0XBD9|A0A2T0XBD9_9BURK	165	0				
CMD-like	tr|A0A2T1A1P3|A0A2T1A1P3_9ACTN	179	0				
CMD-like	tr|A0A2T1E9G0|A0A2T1E9G0_9CYAN	132	0				
CMD-like	tr|A0A1G9TAI0|A0A1G9TAI0_9BACI	131	0				
CMD-like	tr|A0A1G9WAJ2|A0A1G9WAJ2_9ACTN	141	0				
CMD-like	tr|A0A1H0HVG9|A0A1H0HVG9_9BACI	133	0				
CMD-like	tr|A0A1H0M544|A0A1H0M544_9ACTN	131	0				
CMD-like	tr|A0A1H1GT74|A0A1H1GT74_9ACTN	198	0				
CMD-like	tr|A0A1H1H561|A0A1H1H561_9ACTN	134	0				
CMD-like	tr|A0A1H1HUE3|A0A1H1HUE3_9ACTN	123	0				
CMD-like	tr|A0A1H1HWR7|A0A1H1HWR7_9MICC	134	0				
CMD-like	tr|A0A1H1JUC1|A0A1H1JUC1_9BURK	142	0				
CMD-like	tr|A0A1H1S452|A0A1H1S452_9ACTN	143	0				
CMD-like	tr|A0A1H2NJL8|A0A1H2NJL8_PSEVA	147	0				
CMD-like	tr|A0A1H2PM82|A0A1H2PM82_9BURK	132	0				
CMD-like	tr|A0A1H2PTV3|A0A1H2PTV3_9BURK	128	0				
CMD-like	tr|A0A1H2THI8|A0A1H2THI8_9RHOB	182	0				
CMD-like	tr|A0A1H3CPS0|A0A1H3CPS0_9PSEU	192	1	70-114	7.16e-05	143-180	9.41e-06
CMD-like	tr|A0A1H3IWZ2|A0A1H3IWZ2_9EURY	184	0				
CMD-like	tr|A0A1H3QYP0|A0A1H3QYP0_9PSEU	129	0				
CMD-like	tr|A0A1H3RK70|A0A1H3RK70_9ACTN	128	0				
CMD-like	tr|A0A1H3S0H9|A0A1H3S0H9_9PSEU	207	0				
CMD-like	tr|A0A1H4E2R1|A0A1H4E2R1_9BURK	151	0				
CMD-like	tr|A0A1H4YRM9|A0A1H4YRM9_9PSEU	209	0				
CMD-like	tr|A0A1H5AUW4|A0A1H5AUW4_9PSEU	159	0				
CMD-like	tr|A0A1H5C7L8|A0A1H5C7L8_TSUTY	136	0				
CMD-like	tr|A0A1H5RDQ2|A0A1H5RDQ2_9PSEU	132	0				
CMD-like	tr|A0A1H5SJF9|A0A1H5SJF9_9RHOB	134	0				
CMD-like	tr|A0A1H5XT18|A0A1H5XT18_9HYPH	135	0				
CMD-like	tr|A0A1H6BFR7|A0A1H6BFR7_9ACTN	178	0				
CMD-like	tr|A0A1H6DXY4|A0A1H6DXY4_9ACTN	157	0				
CMD-like	tr|A0A1H6E2T9|A0A1H6E2T9_9ACTN	199	0				
CMD-like	tr|A0A1H6E5W3|A0A1H6E5W3_9ACTN	191	0				
CMD-like	tr|A0A1H6FRC3|A0A1H6FRC3_9EURY	186	0				
CMD-like	tr|A0A1H6G5T5|A0A1H6G5T5_9EURY	193	0				
CMD-like	tr|A0A1H6G621|A0A1H6G621_9EURY	181	0				
CMD-like	tr|A0A1H6S101|A0A1H6S101_9DEIO	152	0				
CMD-like	tr|A0A1H6U9S4|A0A1H6U9S4_9GAMM	143	0				
CMD-like	tr|A0A1H6VI94|A0A1H6VI94_9DEIO	123	0				
CMD-like	tr|A0A1H7DHZ3|A0A1H7DHZ3_9BURK	131	0				
CMD-like	tr|A0A1H7L0E0|A0A1H7L0E0_9NOCA	139	0				
CMD-like	tr|A0A1H7P392|A0A1H7P392_9BURK	129	0				
CMD-like	tr|A0A1H7PSK4|A0A1H7PSK4_STRJI	133	0				
CMD-like	tr|A0A1H7RW90|A0A1H7RW90_9GAMM	124	0				
CMD-like	tr|A0A1H7WQM9|A0A1H7WQM9_9BACT	138	0				
CMD-like	tr|A0A1H8IRF2|A0A1H8IRF2_9HYPH	133	0				
CMD-like	tr|A0A1H8LWD4|A0A1H8LWD4_9ACTN	170	0				
CMD-like	tr|A0A1H8VFW2|A0A1H8VFW2_9FIRM	124	0				
CMD-like	tr|A0A1H9BXZ5|A0A1H9BXZ5_9EURY	174	0				
CMD-like	tr|A0A1H9GT31|A0A1H9GT31_9PSEU	149	0				
CMD-like	tr|A0A1H9IXQ9|A0A1H9IXQ9_9GAMM	131	0				
CMD-like	tr|A0A1H9LPM0|A0A1H9LPM0_9PSEU	137	0				
CMD-like	tr|A0A1H9R8U6|A0A1H9R8U6_9ACTN	142	0				
CMD-like	tr|A0A1H9TQJ8|A0A1H9TQJ8_9MICO	191	0				
CMD-like	tr|A0A1I0KM91|A0A1I0KM91_9BACT	152	0				
CMD-like	tr|A0A1I0MG95|A0A1I0MG95_9EURY	187	0				
CMD-like	tr|A0A1I0NGJ7|A0A1I0NGJ7_9FIRM	132	0				
CMD-like	tr|A0A1I0RJY8|A0A1I0RJY8_9BACT	146	0				
CMD-like	tr|A0A1I1DWT4|A0A1I1DWT4_NATHA	123	0				
CMD-like	tr|A0A1I1EVS4|A0A1I1EVS4_9BACT	185	0				
CMD-like	tr|A0A1I1F6A8|A0A1I1F6A8_9ACTN	124	0				
CMD-like	tr|A0A1I1TS67|A0A1I1TS67_9ACTN	138	0				
CMD-like	tr|A0A1I2ALW4|A0A1I2ALW4_9BURK	172	0				
CMD-like	tr|A0A1I3QHE0|A0A1I3QHE0_9HYPH	131	0				
CMD-like	tr|A0A1I3QZM5|A0A1I3QZM5_9BACL	125	0				
CMD-like	tr|A0A1I3UQI5|A0A1I3UQI5_9GAMM	152	0				
CMD-like	tr|A0A1I3XPY0|A0A1I3XPY0_9PROT	187	0				
CMD-like	tr|A0A1I4C2W0|A0A1I4C2W0_9GAMM	132	0				
CMD-like	tr|A0A1I4CVH7|A0A1I4CVH7_9HYPH	124	0				
CMD-like	tr|A0A1I4EK05|A0A1I4EK05_9ACTN	145	0				
CMD-like	tr|A0A1I4FBH3|A0A1I4FBH3_9HYPH	150	0				
CMD-like	tr|A0A1I4FGW3|A0A1I4FGW3_9RHOB	130	0				
CMD-like	tr|A0A1I4HJ87|A0A1I4HJ87_9FIRM	190	0				
CMD-like	tr|A0A1I4I6C2|A0A1I4I6C2_9ACTN	194	0				
CMD-like	tr|A0A1I4LEC9|A0A1I4LEC9_9FIRM	132	0				
CMD-like	tr|A0A1I4VB62|A0A1I4VB62_9GAMM	207	0				
CMD-like	tr|A0A1I4VZ96|A0A1I4VZ96_PSUAM	134	0				
CMD-like	tr|A0A1I5D364|A0A1I5D364_9HYPH	141	0				
CMD-like	tr|A0A1I5F2X7|A0A1I5F2X7_9ACTN	133	0				
CMD-like	tr|A0A1I5SPP4|A0A1I5SPP4_9PSEU	150	0				
CMD-like	tr|A0A1I5Z5H1|A0A1I5Z5H1_9BACI	124	0				
CMD-like	tr|A0A1I5ZA97|A0A1I5ZA97_9RHOB	128	0				
CMD-like	tr|A0A1I6BL30|A0A1I6BL30_9PSEU	133	0				
CMD-like	tr|A0A1I6BNC7|A0A1I6BNC7_9GAMM	132	0				
CMD-like	tr|A0A1I6DGN9|A0A1I6DGN9_9FIRM	176	0				
CMD-like	tr|A0A1I6E100|A0A1I6E100_9RHOB	129	0				
CMD-like	tr|A0A1I6KG13|A0A1I6KG13_9SPHN	122	0				
CMD-like	tr|A0A1I6SNU6|A0A1I6SNU6_9PSEU	127	0				
CMD-like	tr|A0A1I6UY01|A0A1I6UY01_9SPHI	121	0				
CMD-like	tr|A0A1I7EAB8|A0A1I7EAB8_9RHOB	127	0				
CMD-like	tr|A0A1I7K5P6|A0A1I7K5P6_9BURK	180	0				
CMD-like	tr|A0A1I9YSR5|A0A1I9YSR5_9BURK	145	0				
CMD-like	tr|A0A1J0VRC2|A0A1J0VRC2_9NOCA	159	0				
CMD-like	tr|A0A1J0VZG4|A0A1J0VZG4_9NOCA	181	0				
CMD-like	tr|A0A1J4QBV5|A0A1J4QBV5_9ACTN	185	0				
CMD-like	tr|A0A1K2HML3|A0A1K2HML3_9NEIS	154	0				
